,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0
agnddf_v1.4_10yrs,0.9238,0.6069885681390024,1.0,0.5859125197702152,1.0,0.48219208477902076,0.7502,0.47884813658880054,0.9308,0.6486911293415637,1.0,0.6328426279757164,1.0,0.5317069271835902,0.7568,0.5022626829700331
alt_dust_v1.4_10yrs,0.9372,0.5809879539645888,1.0,0.5566781538373583,,,0.7952,0.48929931221701384,0.942,0.6405363040903131,1.0,0.619397176620546,,,0.8008,0.5199827942487228
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs,0.9492,0.583088715677172,1.0,0.5555244781716682,1.0,0.48162307643678853,0.7962,0.49065860510717013,0.9546,0.6404576956177148,1.0,0.6125026149367013,1.0,0.5354856574753634,0.8018,0.5188744611926777
baseline_2snapsv1.4_10yrs,0.9154,0.5812011280360808,1.0,0.5692427717573838,1.0,0.4713986490511281,0.748,0.47431935348951093,0.9236,0.6278116623511786,1.0,0.619400446097683,1.0,0.5270458840228296,0.7536,0.4997398728846253
baseline_v1.4_10yrs,0.9206,0.596572436151268,1.0,0.5797810831371245,1.0,0.47478292410957224,0.75,0.47642857204580513,0.9286,0.6391037449322126,1.0,0.6267328334468074,1.0,0.5272319818474063,0.7548,0.5010656775679674
bulges_bs_v1.4_10yrs,0.9354,0.5919081804722209,1.0,0.5675258352130921,1.0,0.4738350319068966,0.798,0.4967395041335943,0.94,0.6424472636262889,1.0,0.6215621319682533,1.0,0.5246401502617721,0.8024,0.5224925067120648
bulges_bulge_wfd_v1.4_10yrs,0.9338,0.5931933125893832,1.0,0.5718445747811264,1.0,0.47372223117851664,0.7976,0.5015881958213918,0.939,0.6423649676519555,1.0,0.6229546137241384,1.0,0.5283273864740434,0.8036,0.5280303505834383
bulges_cadence_bs_v1.4_10yrs,0.936,0.5929825972295333,1.0,0.5729983558713456,1.0,0.4805025797531047,0.7978,0.49885529603370876,0.9402,0.6428588274434653,1.0,0.6231961255983799,1.0,0.5306549722941272,0.804,0.5246698899817146
bulges_cadence_bulge_wfd_v1.4_10yrs,0.9342,0.5920547590709011,1.0,0.5720325994567406,1.0,0.4755449601618591,0.797,0.50274310894162,0.9396,0.6432611508925262,1.0,0.623949933864525,1.0,0.5288814814557737,0.8024,0.5285379955669922
bulges_cadence_i_heavy_v1.4_10yrs,0.9354,0.5947022780826365,1.0,0.5709608973108533,1.0,0.47394815484825065,0.7964,0.5019245927898965,0.94,0.643773325656829,1.0,0.6234873639934605,1.0,0.5256129189431858,0.8026,0.525932827824048
bulges_i_heavy_v1.4_10yrs,0.9344,0.5918336875151461,1.0,0.5696971381538635,1.0,0.47663225691874683,0.797,0.500382659506751,0.9412,0.6427574680889643,1.0,0.621459604241087,1.0,0.5275505144634401,0.8022,0.5269035553109113
darkddf_v1.4_10yrs,0.9248,0.5988778660101677,1.0,0.5827655848405147,,,0.7492,0.4794256005275014,0.9304,0.6421537835847407,1.0,0.63098140968962,,,0.7574,0.5037104770251088
dcr_nham1_v1.4_10yrs,0.925,0.5908565879777408,1.0,0.5722071940307565,1.0,0.4735372251078276,0.7486,0.4774195944063116,0.9294,0.6378285617655104,1.0,0.6221048593552935,1.0,0.5261251442636721,0.756,0.5029928566404014
