,3 pairs in 15 nights detection loss NEO H=16.0,3 pairs in 15 nights detection loss NEO H=22.0,3 pairs in 15 nights detection loss MBA H=16.0,3 pairs in 15 nights detection loss MBA H=21.0,3 pairs in 15 nights detection loss Trojan H=14.0,3 pairs in 15 nights detection loss Trojan H=18.0,3 pairs in 15 nights detection loss TNO H=4.0,3 pairs in 15 nights detection loss TNO H=8.0,3 pairs in 15 nights detection loss PHA H=16.0,3 pairs in 15 nights detection loss PHA H=22.0,3 pairs in 30 nights detection loss NEO H=16.0,3 pairs in 30 nights detection loss NEO H=22.0,3 pairs in 30 nights detection loss MBA H=16.0,3 pairs in 30 nights detection loss MBA H=21.0,3 pairs in 30 nights detection loss Trojan H=14.0,3 pairs in 30 nights detection loss Trojan H=18.0,3 pairs in 30 nights detection loss TNO H=4.0,3 pairs in 30 nights detection loss TNO H=8.0,3 pairs in 30 nights detection loss PHA H=16.0,3 pairs in 30 nights detection loss PHA H=22.0
barebones_nexp2_v1.6_10yrs,0.8864,0.5930933626966085,1.0,0.5933668535711955,1.0,0.4924413443446787,0.5038,0.343112154151529,0.871,0.5982082755830146,0.8922,0.621017078772826,1.0,0.6272416059130757,1.0,0.5382820241088028,0.5098,0.35842161510908205,0.8814,0.6293524874151388
barebones_v1.6_10yrs,0.888,0.6059374972601281,1.0,0.615556564991989,1.0,0.5315570168021633,0.507,0.35320374668529264,0.8756,0.61345625382715,0.896,0.633554309773213,1.0,0.6464774231703025,1.0,0.5779603660233511,0.5112,0.36692268785728166,0.8872,0.6424857240566139
baseline_nexp1_v1.6_10yrs,0.9112,0.6007477653927422,1.0,0.5999369042934541,1.0,0.5129781520495432,0.7504,0.48934251441868903,0.9204,0.6175056430323533,0.921,0.6420086494676491,1.0,0.6449670368982477,1.0,0.5579351896627607,0.7564,0.5124657163352491,0.9294,0.6604828848320862
baseline_nexp2_scaleddown_v1.6_10yrs,0.9088,0.576565881480197,1.0,0.5750878052946629,1.0,0.48114103168418026,0.7464,0.4712477675180191,0.9118,0.5948196657359818,0.916,0.6187229578163408,1.0,0.617631562670427,1.0,0.531108653419373,0.7518,0.4954012351709865,0.9226,0.6374016159407444
baseline_nexp2_v1.6_10yrs,0.9108,0.5783478588661246,1.0,0.5817833515543919,1.0,0.4795866270007254,0.749,0.47801748998406857,0.9158,0.5992130098392907,0.918,0.6225508340475431,1.0,0.6246342279067412,1.0,0.530768464112702,0.7566,0.502264346187888,0.9256,0.6454876273289726
combo_dust_nexp2_v1.6_10yrs,0.933,0.577778587048578,1.0,0.5591917930897589,1.0,0.45918089956327485,0.7874,0.4920192033556793,0.9398,0.5947675205312398,0.9406,0.6321483996341313,1.0,0.6152319068144392,1.0,0.5154397912968041,0.8,0.5230314231496548,0.9516,0.6534678989007175
combo_dust_v1.6_10yrs,0.936,0.5968056071392713,1.0,0.5769336968979079,1.0,0.4798711347368928,0.7924,0.5077681317882674,0.9456,0.6184647217130327,0.943,0.6479678771453723,1.0,0.6326876560627216,1.0,0.5400181135821707,0.8024,0.5350847514929237,0.9558,0.6715547351674933
ddf_heavy_nexp2_v1.6_10yrs,0.9054,0.5506342695977338,1.0,0.5576828753547453,1.0,0.45773795495380465,0.7448,0.45964213834945944,0.9072,0.5695664648110719,0.913,0.5998172553869876,1.0,0.6060960937953113,1.0,0.5064709910705346,0.7516,0.4866220257407782,0.9208,0.6179452431891205
ddf_heavy_v1.6_10yrs,0.9106,0.5707690379019343,1.0,0.5733007164085413,1.0,0.48801849601367814,0.7472,0.473514365451363,0.914,0.584821677302578,0.9182,0.6160323093867539,1.0,0.6213546405997696,1.0,0.5368673873544585,0.755,0.49945622419731595,0.9266,0.6374514467773799
dm_heavy_nexp2_v1.6_10yrs,0.9134,0.5644886116092921,1.0,0.5477411395172473,1.0,0.4283046169644998,0.7458,0.4631341338634999,0.9128,0.5767624614695951,0.9206,0.6099942154143657,1.0,0.596870955167986,1.0,0.4788537418276854,0.752,0.4910630534871333,0.9262,0.6258723969030342
dm_heavy_v1.6_10yrs,0.914,0.5810843178552471,1.0,0.5734340287178693,1.0,0.45572187183101304,0.7478,0.4775447046710489,0.9216,0.6000737970682787,0.9236,0.6254405443450387,1.0,0.618126753255572,1.0,0.5066180018402547,0.7568,0.5042371284070922,0.931,0.6454554273040968
even_filters_alt_g_v1.6_10yrs,0.915,0.5700108826938294,1.0,0.5565236806460961,1.0,0.4587643990146399,0.7476,0.4773641123467433,0.918,0.5905647794095018,0.9218,0.6215486477547242,1.0,0.6136947823697332,1.0,0.5180349682304645,0.7578,0.5048732260408643,0.9298,0.6428820839167108
even_filters_altv1.6_10yrs,0.915,0.5814592583335657,1.0,0.572433758578505,1.0,0.48517929468435456,0.7514,0.47943491897596313,0.9184,0.5994437691187475,0.9224,0.6328816673520281,1.0,0.6278319512113552,1.0,0.5407379252806545,0.7572,0.5067296182970733,0.9316,0.653869652920899
even_filters_g_v1.6_10yrs,0.9118,0.5766512504974634,1.0,0.5690448970147635,1.0,0.4604396919247539,0.7488,0.4784869219379287,0.9228,0.6005616208185991,0.9198,0.6228460871982591,1.0,0.6161746251870701,1.0,0.5164130305847889,0.7566,0.5058398049969931,0.9308,0.6453110987512771
even_filtersv1.6_10yrs,0.9136,0.5877929321640551,1.0,0.5763001112352923,1.0,0.4894764889391774,0.7496,0.48448273617275667,0.9198,0.6084604456675349,0.9214,0.6316506469338224,1.0,0.6270267129735408,1.0,0.5384515779530119,0.7558,0.5084713173033469,0.9306,0.6536393551226978
mw_heavy_nexp2_v1.6_10yrs,0.9086,0.5810937236697526,1.0,0.5803532984749373,1.0,0.48424331917761554,0.7478,0.4787465183311939,0.9142,0.6009416075555742,0.9168,0.6266250190309501,1.0,0.627099195298855,1.0,0.5331803452759877,0.7568,0.5036910811251682,0.923,0.6461815346877277
mw_heavy_v1.6_10yrs,0.9134,0.6024540900847009,1.0,0.5990344802649425,1.0,0.5087695216543028,0.7506,0.4928166284493142,0.9176,0.616612310855338,0.9196,0.642033660219321,1.0,0.642620624265043,1.0,0.5586482146383307,0.758,0.5152107840782602,0.9298,0.6609908564496395
rolling_exgal_mod2_dust_sdf_0.80_nexp2_v1.6_10yrs,0.9326,0.5777999061566437,1.0,0.5621344082878807,1.0,0.47231327454059674,0.766,0.47959682733236175,0.9416,0.5934345022187378,0.9378,0.6285199378581269,1.0,0.6137821144691485,1.0,0.5226668792314607,0.7728,0.5063715911682527,0.949,0.6465775131754146
rolling_exgal_mod2_dust_sdf_0.80_v1.6_10yrs,0.9364,0.5919725926709759,1.0,0.5796259960959205,1.0,0.49117881611795283,0.7662,0.49352209997875374,0.9472,0.6133784059989472,0.9422,0.6432916301442861,1.0,0.632340529351475,1.0,0.543803591499847,0.7746,0.519759983817561,0.9544,0.6638171177659844
rolling_fpo_2nslice0.8_v1.6_10yrs,0.9282,0.603170312247768,1.0,0.5935825702008266,1.0,0.4929383689422507,0.7532,0.488918870303003,0.9302,0.6210462750575726,0.9318,0.6388250867396841,1.0,0.6358152272105617,1.0,0.5457463494385918,0.7576,0.511366657814712,0.9404,0.6617940587010764
rolling_fpo_2nslice0.9_v1.6_10yrs,0.929,0.603897989450652,1.0,0.5951587141061685,1.0,0.4977781810236374,0.7522,0.4902465044431786,0.9322,0.6248579254065043,0.9326,0.6420350255405547,1.0,0.6369502150290349,1.0,0.5480836701183159,0.7578,0.5129220493625074,0.9402,0.6630096386417553
rolling_fpo_2nslice1.0_v1.6_10yrs,0.9274,0.6020568339048715,1.0,0.592724931468792,1.0,0.49743418801466077,0.7526,0.49149572386634005,0.935,0.6238213515505528,0.932,0.6397540820968115,1.0,0.634904450138867,1.0,0.5498705175263917,0.7576,0.5137021230264851,0.9414,0.6629879732368891
rolling_fpo_3nslice0.8_v1.6_10yrs,0.9216,0.603053476033026,1.0,0.5909916288718579,1.0,0.4983913720037297,0.7494,0.4824340213024987,0.931,0.6189936300872423,0.9272,0.6390417136577309,1.0,0.6331590293848999,1.0,0.5479874058407227,0.7558,0.5051544384164364,0.9392,0.6564946046077769
rolling_fpo_3nslice0.9_v1.6_10yrs,0.9206,0.6023749228125547,1.0,0.5941853939316328,1.0,0.5072093356563265,0.7498,0.47976542418519097,0.9322,0.6221788638059678,0.9274,0.6390985929059002,1.0,0.63511237670853,1.0,0.5569027623427536,0.7548,0.5039201643864234,0.9386,0.6596121880855818
